"Text Editing","Text Start","Ctrl+Home","Editing Text"
"File","Refresh","F5","In Windows"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Run/Debug","Coverage JUnit Plug-in Test","Shift+Alt+E P","In Windows"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Terminal view commands","Copy","Shift+Ctrl+C","Terminal Control in Focus"
"Run/Debug","Coverage SWTBot Test","Shift+Alt+E S","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Terminal view commands","Maximize Active View or Editor","Alt+Up","Terminal Control in Focus"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"File","Close","Ctrl+W","In Windows"
"Views","Refresh View (Gradle Tasks)","F5","In Gradle Tasks View"
"Text Editing","Line End","End","Editing Text"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Run/Debug","Run Bnd Native Launcher","Shift+Alt+X N","In Windows"
"Run/Debug","Coverage TestNG Test","Shift+Alt+E N","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Groovy Refactoring Commands","Convert to Closure","Alt+G F","Editing Groovy Source"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"SVN","URL...","Ctrl+Alt+R","In Windows"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Eclipse Class Decompiler","Decompile","Ctrl+Alt+,","In Windows"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Uncategorized","Refresh Repositories","Shift+Ctrl+F","In Windows"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+T","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Window","Next View","Ctrl+F7","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"SVN","Commit...","Ctrl+Alt+C","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Window","Show System Menu","Alt+-","In Windows"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"Run/Debug","Debug Bnd Native Launcher","Shift+Alt+D N","In Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Run/Debug","Run Gradle Test","Ctrl+Alt+X G","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Run/Debug","Step Over","F6","Debugging"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Navigate","Next Page","Alt+F7","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Groovy Refactoring Commands","Rename - Refactoring","Shift+Alt+R","Editing Groovy Source"
"SVN","Update","Ctrl+Alt+U","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Uncategorized","Replace all","Ctrl+Alt+Enter","Inline Search is active"
"File","Rename","Shift+Alt+R","Project Explorer +"
"Uncategorized","Close replace bar","Ctrl+Up","Inline Search is active"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Terminal view commands","Paste","Shift+Ctrl+V","Terminal Control in Focus"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Uncategorized","Replace/Find selection","Shift+Ctrl+1","Inline Search is active"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Run/Debug","Debug Bnd OSGi Run Launcher","Shift+Alt+D B","In Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"SVN","Add to svn:ignore...","Ctrl+Alt+I","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Inline Search`","Show Search Bar","Ctrl+F","Editing Text"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Run/Debug","Run Bnd OSGi Run Launcher (JUnit)","Shift+Alt+X C","In Windows"
"Groovy Refactoring Commands","Convert to Property","Shift+Ctrl+,","Editing Groovy Source"
"Source","Apply Checkstyle fixes","Ctrl+Alt+C","Editing Java Source"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Uncategorized","Open main bnd config","Shift+Ctrl+M","In Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Search","Show Occurrences in File Quick Menu","Ctrl+Alt+U","In Windows"
"SVN","Update to Revision","Ctrl+Alt+D","In Windows"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected"
"Git","Commit...","Ctrl+#","In Windows"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Navigate","Open from Clipboard","Shift+Ctrl+V","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Text Editing","Zoom Out","Ctrl+-","Editing Text"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Run/Debug","Debug Groovy Script","Shift+Alt+D G","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"File","Close","Ctrl+F4","In Windows"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Run/Debug","Coverage TestNG Suite","Shift+Alt+E G","In Windows"
"GotoExplore","GotoExplore","Ctrl+C F","In Dialogs and Windows"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Run/Debug","Debug","F11","In Windows"
"Run/Debug","Coverage Eclipse Application","Shift+Alt+E E","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Run/Debug","Coverage JUnit Test","Shift+Alt+E T","In Windows"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"Eclipse Class Decompiler","Decompile","Ctrl+Alt+.","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Text Editing","Zoom In","Ctrl++","Editing Text"
"Edit","Delete","Delete","In Windows"
"Groovy Refactoring Commands","Convert to Java","Alt+G J","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected"
