562.488  152.951  VimEnter   autocommands
132.865  124.115  001.756    sourcing      /home/osboxes/.config/nvim/init.vim
132.820  122.359  055.707    sourcing      /home/osboxes/.vimrc
401.793  078.687  opening    buffers
312.044  061.785  loading    plugins
180.863  046.142  012.770    sourcing      /home/osboxes/.vim/plugin/eclim.vim
167.672  030.602  008.657    sourcing      /home/osboxes/.vim/eclim/plugin/eclim.vim
278.372  028.889  004.613    sourcing      /home/osboxes/.vim/plugged/ultisnips/plugin/UltiSnips.vim
274.976  024.183  024.183    sourcing      /usr/share/nvim/runtime/autoload/provider/python3.vim
096.280  022.925  022.667    sourcing      /usr/share/nvim/runtime/filetype.vim
030.420  018.199  003.108    sourcing      /usr/share/nvim/runtime/syntax/syntax.vim
154.910  016.884  016.431    sourcing      /usr/share/nvim/runtime/autoload/provider/python.vim
577.127  014.502  first      screen        update
030.350  012.870  012.870    sourcing      /usr/share/nvim/runtime/filetype.vim
118.114  009.821  009.363    sourcing      /home/osboxes/.vim/plugged/vim-colorschemes/colors/solarized.vim
047.400  006.821  006.249    sourcing      /usr/share/nvim/runtime/colors/desert.vim
105.479  005.808  005.444    sourcing      /home/osboxes/.vim/plugged/vim-colorschemes/colors/solarized.vim
407.349  005.451  BufEnter   autocommands
165.194  004.726  003.235    sourcing      /home/osboxes/.vim/eclim/autoload/eclim/util.vim
228.802  004.592  004.533    sourcing      /home/osboxes/.vim/plugged/vim-sensible/plugin/sensible.vim
132.869  004.204  sourcing   vimrc         file(s)
195.663  004.131  003.920    sourcing      /home/osboxes/.vim/plugged/vim-grepper/plugin/grepper.vim
222.501  003.929  003.929    sourcing      /home/osboxes/.vim/plugged/vim-unimpaired/plugin/unimpaired.vim
187.444  003.924  003.581    sourcing      /home/osboxes/.vim/plugged/ale/plugin/ale.vim
233.549  003.911  003.760    sourcing      /home/osboxes/.vim/plugged/vim-sleuth/plugin/sleuth.vim
240.542  003.881  003.538    sourcing      /home/osboxes/.vim/plugged/vim-airline/plugin/airline.vim
205.474  003.073  003.073    sourcing      /home/osboxes/.vim/plugged/vim-fugitive/plugin/fugitive.vim
003.323  002.877  inits      1
305.363  002.418  000.887    sourcing      /usr/share/nvim/runtime/plugin/rplugin.vim
314.675  002.304  loading    after         plugins
365.862  002.293  002.203    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/themes/dark.vim
015.835  002.222  001.843    sourcing      /usr/share/nvim/runtime/syntax/synload.vim
305.356  001.531  001.136    sourcing      /home/osboxes/.local/share/nvim/rplugin.vim
163.884  001.492  001.492    sourcing      /home/osboxes/.vim/eclim/autoload/eclim/util.vim
060.830  001.481  001.481    sourcing      /home/osboxes/.vim/autoload/plug.vim
287.178  001.376  001.376    sourcing      /home/osboxes/.fzf/plugin/fzf.vim
316.026  001.333  reading    ShaDa
245.090  001.194  001.194    sourcing      /home/osboxes/.vim/plugged/asyncrun.vim/plugin/asyncrun.vim
068.389  001.028  001.028    sourcing      /usr/share/nvim/runtime/ftoff.vim
290.187  001.004  001.004    sourcing      /home/osboxes/.vim/plugged/fzf.vim/plugin/fzf.vim
178.371  000.948  000.948    sourcing      /home/osboxes/.vim/eclim/plugin/settings_java.vim
174.341  000.846  000.846    sourcing      /home/osboxes/.vim/eclim/plugin/project.vim
190.689  000.819  000.819    sourcing      /home/osboxes/.vim/plugged/tagbar/plugin/tagbar.vim
316.838  000.812  clearing   screen
216.625  000.791  000.791    sourcing      /home/osboxes/.vim/plugged/vim-scriptease/plugin/scriptease.vim
214.507  000.744  000.744    sourcing      /home/osboxes/.vim/plugged/vim-diminactive/plugin/diminactive.vim
320.225  000.744  000.744    sourcing      /home/osboxes/.vim/eclim/autoload/eclim/display/signs.vim
246.632  000.703  000.703    sourcing      /home/osboxes/.vim/plugged/vim-table-mode/plugin/table-mode.vim
299.781  000.647  000.647    sourcing      /usr/share/nvim/runtime/plugin/matchit.vim
004.550  000.609  init       highlight
302.181  000.600  000.600    sourcing      /usr/share/nvim/runtime/plugin/netrwPlugin.vim
003.880  000.545  parsing    arguments
409.909  000.535  000.535    sourcing      /home/osboxes/.vim/plugged/vim-startify/autoload/startify.vim
328.801  000.487  000.487    sourcing      /home/osboxes/.vim/plugged/ale/autoload/ale/linter.vim
235.977  000.469  000.469    sourcing      /home/osboxes/.vim/plugged/vim-surround/plugin/surround.vim
411.798  000.466  000.466    sourcing      /home/osboxes/.vim/plugged/ale/autoload/ale/engine.vim
358.045  000.439  000.439    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/highlighter.vim
413.517  000.414  000.414    sourcing      /home/osboxes/.vim/plugged/vim-startify/autoload/startify/fortune.vim
000.446  000.406  locale     set
559.114  000.401  000.401    sourcing      /home/osboxes/.vim/plugged/vim-lsp/autoload/lsp.vim
305.262  000.395  000.395    sourcing      /usr/share/nvim/runtime/autoload/remote/define.vim
015.640  000.379  000.379    sourcing      /usr/share/nvim/runtime/syntax/syncolor.vim
154.723  000.366  000.366    sourcing      /usr/share/nvim/runtime/autoload/remote/host.vim
196.698  000.364  000.364    sourcing      /home/osboxes/.vim/plugged/vim-better-whitespace/plugin/better-whitespace.vim
136.300  000.345  000.345    sourcing      /home/osboxes/.vim/eclim/autoload/eclim.vim
167.449  000.335  000.335    sourcing      /home/osboxes/.vim/eclim/autoload/eclim/common/buffers.vim
330.721  000.322  000.322    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/extensions.vim
326.015  000.293  000.293    sourcing      /home/osboxes/.vim/plugged/ale/autoload/ale/util.vim
212.320  000.275  000.275    sourcing      /home/osboxes/.vim/plugged/winteract.vim/plugin/window-mode.vim
525.109  000.270  000.270    sourcing      /home/osboxes/.vim/plugged/vim-startify/syntax/startify.vim
115.894  000.244  000.244    sourcing      /usr/share/nvim/runtime/syntax/syncolor.vim
185.022  000.230  000.230    sourcing      /home/osboxes/.vim/plugged/ale/autoload/ale.vim
121.897  000.223  000.223    sourcing      /usr/share/nvim/runtime/syntax/syncolor.vim
199.021  000.218  000.218    sourcing      /home/osboxes/.vim/plugged/vim-tmux-focus-events/plugin/tmux_focus_events.vim
300.837  000.215  000.215    sourcing      /usr/share/nvim/runtime/plugin/matchparen.vim
112.219  000.214  000.214    sourcing      /usr/share/nvim/runtime/syntax/syncolor.vim
339.615  000.213  000.213    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/extensions/branch.vim
195.528  000.211  000.211    sourcing      /home/osboxes/.vim/plugged/vim-repeat/autoload/repeat.vim
197.878  000.208  000.208    sourcing      /home/osboxes/.vim/plugged/vim-tmux-navigator/plugin/tmux_navigator.vim
046.847  000.206  000.206    sourcing      /usr/share/nvim/runtime/syntax/syncolor.vim
296.383  000.206  000.206    sourcing      /usr/share/nvim/runtime/plugin/gzip.vim
200.203  000.201  000.201    sourcing      /home/osboxes/.vim/plugged/vim-commentary/plugin/commentary.vim
312.034  000.201  000.201    sourcing      /usr/share/nvim/runtime/plugin/zipPlugin.vim
201.543  000.198  000.198    sourcing      /home/osboxes/.vim/plugged/vim-startify/plugin/startify.vim
042.609  000.186  000.186    sourcing      /usr/share/nvim/runtime/syntax/syncolor.vim
101.595  000.186  000.186    sourcing      /usr/share/nvim/runtime/syntax/syncolor.vim
247.489  000.180  000.180    sourcing      /home/osboxes/.vim/plugged/vim-maximizer/plugin/maximizer.vim
044.847  000.179  000.179    sourcing      /usr/share/nvim/runtime/syntax/syncolor.vim
103.105  000.178  000.178    sourcing      /usr/share/nvim/runtime/syntax/syncolor.vim
188.891  000.177  000.177    sourcing      /home/osboxes/.vim/plugged/setcolors.vim/plugin/setcolors.vim
